Sleep_Hours,Water_Liters,Steps,Mood_Score
6.872700594236813,1.0942875570602029,14183,7.965046691416758
9.75357153204958,2.909231233791341,14915,9.270399637414464
8.659969709057025,1.94306794322898,14874,8.383930019319372
7.993292420985183,2.525712073494108,3648,5.949523773155792
5.780093202212183,3.722699421778279,7539,5.041115306688449
5.779972601681013,1.7478766874466247,11637,5.7818610155091825
5.290418060840997,2.2311487691068894,6199,5.167979661833065
9.330880728874675,3.266653415629146,14115,10.0
8.005575058716044,1.6863944964748674,10445,7.359430853622974
8.540362888980226,1.230939729486379,13375,7.807344894161008
5.102922471479012,1.869254358741304,4557,4.811844395617298
9.849549260809972,1.4836638617620133,7592,7.695134072879964
9.162213204002109,3.7890929570277194,2098,6.241516432074266
6.061695553391381,3.424361138693251,4200,5.330684714469814
5.909124836035503,2.9002112695312703,4961,5.045932577948071
5.917022549267169,3.614381770563153,6973,5.192928196820762
6.521211214797688,3.4110162306973435,6433,5.885623475910296
7.623782158161189,1.5597101766581076,13969,7.925743095427054
7.159725093210579,3.677676995469933,4869,6.930381393310696
6.456145700990209,2.6180267257469523,13426,6.866599623582448
8.059264473611897,3.4223204654921875,13983,7.981378862867119
5.697469303260209,3.6882738997704796,2956,4.351911925288363
6.4607232426760905,1.9540104249155916,14259,7.16792546327821
6.831809216468459,1.3301557735830303,10352,7.150488277430081
7.28034992108518,1.683805487625825,7699,5.6402760514939185
8.925879806965067,2.281323365878769,8944,8.249928798292547
5.998368910791799,3.4540442977674792,6493,5.226815516734275
7.571172192068058,3.5821917497690303,11492,7.986632036660442
7.962072844310212,1.020856391593572,6911,6.931829135438625
5.232252063599988,2.532241907732697,5987,5.119323673378882
8.037724259507192,2.252233009446337,11719,7.774506075614118
5.8526206184364575,1.6663234314121906,8015,5.918845731616357
5.325257964926397,1.3595961020010483,3218,5.203165470172603
9.744427686266667,2.012845514210884,6496,7.750681164659111
9.828160165372797,3.8287291117375575,6735,8.173114878180394
9.041986740582306,1.9696087960622657,13296,8.745482075531053
6.523068845866853,2.556371865230098,12927,7.94803908923653
5.48836057003192,3.1090568766855338,6555,4.935881599517318
8.421165132560784,2.090888807137882,11146,7.757669492140627
7.200762468698007,3.915346248162882,10050,6.761395271106536
5.610191174223894,3.8873418848263337,14757,6.81067513079761
7.475884550556351,1.7553468874760925,5446,5.92556667655314
5.171942605576092,2.491745517677156,3045,4.045134829359916
9.546602010393912,1.902634929450309,8893,8.539822334824276
6.293899908000085,1.8545214831324028,3693,5.086593230638193
8.31261142176991,1.1106608420635984,5436,7.32188228372686
6.558555380447055,2.8286930019396905,10754,6.582111227405549
7.600340105889054,2.5080370696865844,12677,7.753329821383543
7.733551396716399,1.1544362537499682,7895,7.12801685207261
5.924272277627635,1.8359393927098342,5354,6.340193897344626
9.847923138822793,3.724797657899961,2225,6.944745241996519
8.875664116805574,1.7186856720009174,6893,8.553377087836541
9.697494707820946,1.4346846162736693,9022,8.000859711502393
9.474136752138243,2.468358280832689,11151,8.976580942611987
7.989499894055426,3.956951362331802,7600,6.942956779249698
9.609371175115584,1.7261658145345011,14740,9.266924354319947
5.442462510259597,3.0164066422176354,13259,6.8110699481117125
5.979914312095726,3.284858845986153,9996,6.485088335322511
5.22613644455269,1.712912631977199,11007,5.61907144427513
6.626651653816322,3.1846490458355787,14946,6.580959155653894
6.94338644844741,2.10334939815776,9683,6.58694678159943
6.356745158869479,2.8969174917807385,6642,5.847723666687044
9.143687545759647,2.900589132282684,13312,9.063888087629092
6.7837666334679465,2.6073240522242753,9679,7.062404284323388
6.404672548436904,1.270869310163225,10208,7.491642098620828
7.713480415791242,3.505907486767714,9339,7.474173709679272
5.704621124873813,1.9623401949152075,11435,6.564118971290481
9.010984903770199,1.5595555311995626,4205,7.222780298328713
5.372753218398854,1.1223254246642917,12716,6.890345144075319
9.934434683002586,2.7726788295647253,3069,7.833604283581974
8.861223846483288,3.032693085526847,5444,7.6662095310204625
5.993578407670862,1.0497634867835686,12757,7.651383299879685
5.027610585618012,2.536279174897843,3060,4.2448195605422825
9.07730714227417,1.6794873255938139,4327,7.084033868508049
8.534286719238086,2.9355183712283495,5420,7.281145377467618
8.645035840204937,1.5230992870149742,2301,7.079846246703087
8.85635173342973,3.0728132143073976,14468,9.343759591913852
5.3702232586704515,2.1602060389016122,2606,4.810675570480021
6.792328642721364,3.8101899662102037,5170,5.454142636246612
5.579345297625649,1.4125628324379798,2699,4.01129959563571
9.315517129377968,2.0231990531507753,7088,7.665943182891032
8.11649063413779,1.3404205637217672,11331,7.314052293140286
6.654490124263246,3.774080854835688,2190,5.151292876300983
5.317791751430118,3.632018060142943,12492,6.005841533076124
6.554911608578311,1.7738248831454668,2980,5.7995438028270065
6.625916610133736,2.9799521381025373,4975,4.98752944599488
8.64803089169032,3.4516666006036476,8102,8.451482962501524
8.187787356776067,2.665602434798387,3184,5.877650982124472
9.436063712881634,2.5889517350680196,5327,7.051529173442968
7.361074625809747,1.725556872701355,5394,5.819226574241287
5.597971229691509,1.2793083034176975,10319,6.958019903651932
8.566223936114975,3.69164727385998,12257,8.42771418659398
8.803925243084487,3.7012541714899916,3816,7.190665425986043
7.806385987847481,2.8993043718198037,7854,6.943324322629226
8.854835899772805,2.017089373146102,8709,7.895145813250859
7.468977981821954,2.047628723837983,2569,5.48914456065822
7.61366414690997,3.177867036610718,7442,6.8433368822646115
7.137705091792748,3.691330779857731,3895,6.02269351019578
5.127095633720476,3.661259272795352,4733,5.37471969851578
5.539457134966522,3.339626637572872,5863,4.11298555704681
